Catisfactions,6.99,Cibo per gatti,0
Cuccia per cani,127.99,Accessori per cani,1
Castello per gatti,80.50,Accessori per gatti,2
Osso di plastica,5.50,Accessori per cani,3
Guinzaglio,20.00,Accessori per cani,4
Frisbee,15.69,Accessori per cani,5
Gioco per gatti,30.59,Accessori per gatti,6
Croccantini cani,10.99,Cibo per cani,7
Vitamine V-Integra,30.99,Farmaci per cani,8
Drontal compresse,20.99,Famaci per gatti,9
Costume da pirata,20.49,Accessori per gatti,10
Museruola,30.50,Accessori per cani,11
Mini-trampolino,50.99,Accessori per cani,12